trip_id,trip_no,column_index,route_id,direction,stop_id,stop_name,stop_order,scheduled_time
98_up_002,2,3,98_up,up,98035,第二佐真下,35,06:10
98_up_002,2,3,98_up,up,98036,真栄原,36,06:12
98_up_002,2,3,98_up,up,98037,広栄団地入口,37,06:13
98_up_002,2,3,98_up,up,98038,広栄,38,06:14
98_up_002,2,3,98_up,up,98039,嘉数,39,06:17
98_up_002,2,3,98_up,up,98040,浅野浦,40,06:19
98_up_002,2,3,98_up,up,98041,大平,41,06:20
98_up_002,2,3,98_up,up,98042,陽明高校前,42,06:21
98_up_002,2,3,98_up,up,98043,沢岻,43,06:22
98_up_002,2,3,98_up,up,98044,末吉団地前,44,06:23
98_up_002,2,3,98_up,up,98045,古島駅前,45,06:24
98_up_002,2,3,98_up,up,98046,興南高校前,46,06:25
98_up_002,2,3,98_up,up,98047,真嘉比,47,06:26
98_up_002,2,3,98_up,up,98048,おもろまち駅前,48,06:28
98_up_002,2,3,98_up,up,98049,安里一区,49,06:30
98_up_002,2,3,98_up,up,98056,安里,56,06:33
98_up_002,2,3,98_up,up,98057,牧志,57,06:34
98_up_002,2,3,98_up,up,98058,ホテルコレクティブ前,58,06:36
98_up_002,2,3,98_up,up,98059,県庁北口,59,06:40
98_up_002,2,3,98_up,up,98060,旭橋,60,06:43
98_up_002,2,3,98_up,up,98061,公園前,61,06:46
98_up_002,2,3,98_up,up,98062,軍桟橋前,62,06:47
98_up_002,2,3,98_up,up,98063,山下,63,06:48
98_up_002,2,3,98_up,up,98064,小禄入口,64,06:49
98_up_002,2,3,98_up,up,98065,小禄,65,06:50
98_up_002,2,3,98_up,up,98066,小禄自治会館入口,66,06:51
98_up_002,2,3,98_up,up,98067,小禄南小学校入口,67,06:52
98_up_002,2,3,98_up,up,98068,宇栄原団地前,68,06:53
98_up_002,2,3,98_up,up,98069,とみぐすく南,69,06:55
98_up_002,2,3,98_up,up,98070,平和台北口,70,06:56
98_up_002,2,3,98_up,up,98071,宜保公民館前,71,06:57
98_up_002,2,3,98_up,up,98072,宜保,72,06:58
98_up_002,2,3,98_up,up,98073,豊見城中央病院前,73,07:00
98_up_002,2,3,98_up,up,98074,平和台団地入口,74,07:01
98_up_002,2,3,98_up,up,98075,我那覇,75,07:04
98_up_002,2,3,98_up,up,98076,伊良波,76,07:05
98_up_002,2,3,98_up,up,98077,座安入口,77,07:06
98_up_002,2,3,98_up,up,98078,与根入口,78,07:06
98_up_002,2,3,98_up,up,98079,翁長北,79,07:08
98_up_002,2,3,98_up,up,98080,豊崎入口,80,07:10
98_up_002,2,3,98_up,up,98081,アウトレットモールあしびなー前,81,07:11
98_up_002,2,3,98_up,up,98082,道の駅豊崎,82,07:12
98_up_002,2,3,98_up,up,98083,豊崎美らSUNビーチ前,83,0･:･･
98_up_003,3,4,98_up,up,98001,宜野湾営業所,1,0･:･･
98_up_003,3,4,98_up,up,98002,宜野湾高校前,2,0･:･･
98_up_003,3,4,98_up,up,98003,コンベンションセンター前,3,0･:･･
98_up_003,3,4,98_up,up,98004,ラグナガーデンホテル前,4,0･:･･
98_up_003,3,4,98_up,up,98005,県営大山住宅前,5,0･:･･
98_up_003,3,4,98_up,up,98006,老人ホ－ム愛誠園前,6,0･:･･
98_up_003,3,4,98_up,up,98007,市営伊佐住宅前,7,0･:･･
98_up_003,3,4,98_up,up,98008,宜野湾市農協前,8,0･:･･
98_up_003,3,4,98_up,up,98009,伊佐川,9,0･:･･
98_up_003,3,4,98_up,up,98010,喜友名,10,0･:･･
98_up_003,3,4,98_up,up,98011,新城,11,0･:･･
98_up_003,3,4,98_up,up,98012,普天間入口,12,0･:･･
98_up_003,3,4,98_up,up,98013,普天間,13,0･:･･
98_up_003,3,4,98_up,up,98014,普天間市場入口,14,0･:･･
98_up_003,3,4,98_up,up,98015,野嵩,15,0･:･･
98_up_003,3,4,98_up,up,98016,宜野湾市役所前,16,0･:･･
98_up_003,3,4,98_up,up,98017,上原,17,0･:･･
98_up_003,3,4,98_up,up,98018,中原,18,0･:･･
98_up_003,3,4,98_up,up,98019,赤道,19,0･:･･
98_up_003,3,4,98_up,up,98020,愛知,20,0･:･･
98_up_003,3,4,98_up,up,98021,宜野湾,21,0･:･･
98_up_003,3,4,98_up,up,98022,琉大北口駐車場,22,06:25
98_up_003,3,4,98_up,up,98023,志真志三丁目,23,06:26
98_up_003,3,4,98_up,up,98024,志真志ハイツ入口,24,06:27
98_up_003,3,4,98_up,up,98025,志真志住宅前,25,06:29
98_up_003,3,4,98_up,up,98026,長田,26,06:30
98_up_003,3,4,98_up,up,98032,沖縄国際大学入口,32,06:32
98_up_003,3,4,98_up,up,98033,沖縄国際大学前,33,06:33
98_up_003,3,4,98_up,up,98034,第一佐真下,34,06:34
98_up_003,3,4,98_up,up,98035,第二佐真下,35,06:36
98_up_003,3,4,98_up,up,98036,真栄原,36,06:38
98_up_003,3,4,98_up,up,98037,広栄団地入口,37,06:39
98_up_003,3,4,98_up,up,98038,広栄,38,06:40
98_up_003,3,4,98_up,up,98039,嘉数,39,06:43
98_up_003,3,4,98_up,up,98040,浅野浦,40,06:45
98_up_003,3,4,98_up,up,98041,大平,41,06:47
98_up_003,3,4,98_up,up,98042,陽明高校前,42,06:49
98_up_003,3,4,98_up,up,98043,沢岻,43,06:51
98_up_003,3,4,98_up,up,98044,末吉団地前,44,06:52
98_up_003,3,4,98_up,up,98045,古島駅前,45,06:54
98_up_003,3,4,98_up,up,98046,興南高校前,46,06:56
98_up_003,3,4,98_up,up,98047,真嘉比,47,06:58
98_up_003,3,4,98_up,up,98048,おもろまち駅前,48,06:59
98_up_003,3,4,98_up,up,98049,安里一区,49,07:01
98_up_003,3,4,98_up,up,98056,安里,56,07:04
98_up_003,3,4,98_up,up,98057,牧志,57,07:05
98_up_003,3,4,98_up,up,98058,ホテルコレクティブ前,58,07:07
98_up_003,3,4,98_up,up,98059,県庁北口,59,07:09
98_up_003,3,4,98_up,up,98060,旭橋,60,07:12
98_up_003,3,4,98_up,up,98061,公園前,61,07:15
98_up_003,3,4,98_up,up,98062,軍桟橋前,62,07:16
98_up_003,3,4,98_up,up,98063,山下,63,07:17
98_up_003,3,4,98_up,up,98064,小禄入口,64,07:19
98_up_003,3,4,98_up,up,98065,小禄,65,07:20
98_up_003,3,4,98_up,up,98066,小禄自治会館入口,66,07:22
98_up_003,3,4,98_up,up,98067,小禄南小学校入口,67,07:23
98_up_003,3,4,98_up,up,98068,宇栄原団地前,68,07:24
